
Host: RishiLaptop

Timers On : Sun Nov 16 14:02:52 2025
Timers Off: Sun Nov 16 14:03:15 2025

Wall Time:       22.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:36:31 2025
Timers Off: Sun Nov 16 14:37:19 2025

Wall Time:       48.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:48:38 2025
Timers Off: Sun Nov 16 14:49:01 2025

Wall Time:       22.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:10:00 2025
Timers Off: Sat Nov 22 21:10:05 2025

Wall Time:        4.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      0.000u      0.000s      0.001w     51 calls
HF: Form D                          :      0.000u      0.000s      0.000w     51 calls
HF: DIIS                            :      0.000u      0.000s      0.306w     50 calls
HF: Form C                          :      0.000u      0.000s      0.032w     50 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.016w      5 calls
Grad: S                             :      0.000u      0.000s      0.002w      5 calls
Grad: JK                            :      0.000u      0.000s      1.002w      5 calls
JKGrad: Amn                         :      0.000u      0.000s      0.245w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.000u      0.000s      0.105w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.006w      5 calls
JKGrad: ABx                         :      0.000u      0.000s      0.028w      5 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.600w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.053w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.038w      5 calls
DFH: initialize()                   :      0.000u      0.000s      0.431w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.033w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.172w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.108w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.014w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      5 calls
HF: Guess                           :      0.000u      0.000s      0.037w      5 calls
| SAD Guess                         :      0.000u      0.000s      0.035w      1 calls
HF: Form G                          :      0.000u      0.000s      0.278w     51 calls
| JK: D                             :      0.000u      0.000s      0.001w     51 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     51 calls
| JK: JK                            :      0.000u      0.000s      0.274w     51 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.274w     51 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     51 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.049w     51 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.201w     51 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     51 calls
HF: Form F                          :      0.000u      0.000s      0.001w     51 calls
HF: Form D                          :      0.000u      0.000s      0.000w     51 calls
HF: DIIS                            :      0.000u      0.000s      0.306w     50 calls
HF: Form C                          :      0.000u      0.000s      0.032w     50 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.016w      5 calls
Grad: S                             :      0.000u      0.000s      0.002w      5 calls
Grad: JK                            :      0.000u      0.000s      1.002w      5 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.245w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.033w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.000u      0.000s      0.105w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.006w      5 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.028w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.600w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.033w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:16:53 2025
Timers Off: Sat Nov 22 21:16:54 2025

Wall Time:        1.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.042w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.054w      1 calls
SAD Guess                           :      0.000u      0.000s      0.053w      1 calls
HF: Form G                          :      0.000u      0.000s      0.026w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.000u      0.000s      0.025w     10 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.025w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.263w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.042w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.054w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.053w      1 calls
HF: Form G                          :      0.000u      0.000s      0.026w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.025w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.025w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.013w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.263w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:17:28 2025
Timers Off: Sat Nov 22 21:17:29 2025

Wall Time:        1.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.006w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.036w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.047w      1 calls
SAD Guess                           :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.023w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.000u      0.000s      0.023w     10 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.023w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.215w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.047w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.023w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.023w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.023w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.013w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.215w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:19:35 2025
Timers Off: Sat Nov 22 21:19:37 2025

Wall Time:        1.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.010w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.055w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.013w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.066w      1 calls
SAD Guess                           :      0.000u      0.000s      0.065w      1 calls
HF: Form G                          :      0.000u      0.000s      0.030w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.000u      0.000s      0.029w     10 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.029w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.000u      0.000s      0.017w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.315w      9 calls
HF: Form C                          :      0.000u      0.000s      0.010w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.055w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.013w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.066w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.065w      1 calls
HF: Form G                          :      0.000u      0.000s      0.030w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.029w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.029w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.017w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.315w      9 calls
HF: Form C                          :      0.000u      0.000s      0.010w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:19:58 2025
Timers Off: Sat Nov 22 21:19:59 2025

Wall Time:        1.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.006w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.033w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.038w      1 calls
SAD Guess                           :      0.000u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.022w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.000u      0.000s      0.022w     10 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.022w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.213w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.038w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.022w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.022w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.022w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.013w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.213w      9 calls
HF: Form C                          :      0.000u      0.000s      0.007w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:22:41 2025
Timers Off: Sat Nov 22 21:22:42 2025

Wall Time:        1.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.037w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.048w      1 calls
SAD Guess                           :      0.000u      0.000s      0.047w      1 calls
HF: Form G                          :      0.000u      0.000s      0.025w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.000u      0.000s      0.025w     10 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.025w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.210w      9 calls
HF: Form C                          :      0.000u      0.000s      0.006w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.037w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.048w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.047w      1 calls
HF: Form G                          :      0.000u      0.000s      0.025w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.000u      0.000s      0.025w     10 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.025w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.013w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.000u      0.000s      0.210w      9 calls
HF: Form C                          :      0.000u      0.000s      0.006w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:22:53 2025
Timers Off: Sat Nov 22 21:23:27 2025

Wall Time:       33.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.100w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.207w      7 calls
JK: (A|mn)                          :      0.000u      0.000s      0.379w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.251w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.397w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w      1 calls
HF: Guess                           :      0.000u      0.000s      0.060w      1 calls
SAD Guess                           :      0.000u      0.000s      0.059w      1 calls
HF: Form G                          :      0.000u      0.000s      3.158w     20 calls
JK: D                               :      0.000u      0.000s      0.014w     29 calls
JK: USO2AO                          :      0.000u      0.000s      0.021w     29 calls
JK: JK                              :      0.000u      0.000s     28.917w     29 calls
JK: J                               :      0.000u      0.000s      2.776w     38 calls
JK: J1                              :      0.000u      0.000s      1.317w    376 calls
JK: J2                              :      0.000u      0.000s      1.415w    376 calls
JK: K                               :      0.000u      0.000s     25.852w     38 calls
JK: K1                              :      0.000u      0.000s     19.260w    394 calls
JK: K2                              :      0.000u      0.000s      6.588w    376 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.424w     19 calls
HF: Form C                          :      0.000u      0.000s      0.113w     19 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.100w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.067w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.139w      2 calls
JK: (A|mn)                          :      0.000u      0.000s      0.379w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.251w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.397w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w      1 calls
HF: Guess                           :      0.000u      0.000s      0.060w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.059w      1 calls
HF: Form G                          :      0.000u      0.000s      3.158w     20 calls
| JK: D                             :      0.000u      0.000s      0.001w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.000u      0.000s      3.154w     20 calls
| | JK: J                           :      0.000u      0.000s      0.290w     20 calls
| | | JK: J1                        :      0.000u      0.000s      0.140w     20 calls
| | | JK: J2                        :      0.000u      0.000s      0.149w     20 calls
| | JK: K                           :      0.000u      0.000s      2.704w     20 calls
| | | JK: K1                        :      0.000u      0.000s      2.018w     20 calls
| | | JK: K2                        :      0.000u      0.000s      0.686w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.424w     19 calls
HF: Form C                          :      0.000u      0.000s      0.113w     19 calls
JK: D                               :      0.000u      0.000s      0.013w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.021w      9 calls
JK: JK                              :      0.000u      0.000s     25.763w      9 calls
| JK: J                             :      0.000u      0.000s      2.486w     18 calls
| | JK: J1                          :      0.000u      0.000s      1.177w    356 calls
| | JK: J2                          :      0.000u      0.000s      1.266w    356 calls
| JK: K                             :      0.000u      0.000s     23.149w     18 calls
| | JK: K1                          :      0.000u      0.000s     17.243w    374 calls
| | JK: K2                          :      0.000u      0.000s      5.902w    356 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:23:54 2025
Timers Off: Sat Nov 22 21:23:56 2025

Wall Time:        2.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.012w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.017w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.047w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.011w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.052w      1 calls
SAD Guess                           :      0.000u      0.000s      0.051w      1 calls
HF: Form G                          :      0.000u      0.000s      0.028w     10 calls
JK: D                               :      0.000u      0.000s      0.002w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     18 calls
JK: JK                              :      0.000u      0.000s      0.471w     18 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.471w     18 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     18 calls
DFH: compute_J                      :      0.000u      0.000s      0.041w     18 calls
DFH: compute_K                      :      0.000u      0.000s      0.414w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
